Fri Jan  7 22:05:01 2022    output.dat

         9052155 function calls (8694985 primitive calls) in 48.670 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     91/9    0.001    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\sre_compile.py:71(_compile)
      996    0.001    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:233(__next)
       10    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
 1085/648    0.001    0.000    0.006    0.000 {built-in method builtins.repr}
      418    0.001    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:814(check_plain)
       36    0.001    0.000    0.003    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\representer.py:734(represent_sequence)
        1    0.001    0.001    0.007    0.007 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\segmentation_macro.py:15(__init__)
      404    0.001    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\comments.py:525(__getsingleitem__)
      297    0.001    0.000    0.002    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:1281(write_indent)
      748    0.001    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\comments.py:924(__getitem__)
       11    0.001    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\PIL\TiffImagePlugin.py:770(load)
        2    0.000    0.000    0.006    0.003 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1094(updateFileMenu)
      236    0.000    0.000    0.000    0.000 {built-in method idealWidth}
      186    0.000    0.000    0.000    0.000 {built-in method button}
      123    0.000    0.000    0.000    0.000 {built-in method initStyleOption}
      249    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:277(need_events)
       13    0.000    0.000    0.001    0.000 {built-in method clearSelection}
       12    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\colorama\win32.py:109(SetConsoleTextAttribute)
      612    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:162(scanner_processing_version)
      294    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:1301(write_line_break)
      672    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:31(__init__)
      680    0.000    0.000    0.000    0.000 {built-in method setAlignment}
       16    0.000    0.000    0.000    0.000 {built-in method nt.get_terminal_size}
     1229    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\resolver.py:222(descend_resolver)
      436    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\constructor.py:1035(construct_scalar)
        1    0.000    0.000    0.000    0.000 {built-in method raise_}
      545    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\parser.py:91(xprintf)
      950    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\tokens.py:124(comment)
     1419    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:240(flow_level)
      828    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\serializer.py:65(emitter)
        6    0.000    0.000    0.001    0.000 {built-in method select}
      511    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFF629A0920}
      419    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\tokens.py:341(__init__)
     1998    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:213(stream)
      123    0.000    0.000    0.000    0.000 {built-in method setClipRect}
      994    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\tokens.py:15(__init__)
        1    0.000    0.000    0.189    0.189 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1611(loadFile)
      281    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\comments.py:934(__setitem__)
      321    0.000    0.000    0.000    0.000 {built-in method font}
      744    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:59(append)
       38    0.000    0.000    0.015    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1463(scrollRequest)
      254    0.000    0.000    0.000    0.000 {built-in method size}
        5    0.000    0.000    0.000    0.000 {built-in method menuBar}
        2    0.000    0.000    0.000    0.000 {built-in method sizeHintForColumn}
        2    0.000    0.000    0.001    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1314(loadFlags)
     1229    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\resolver.py:245(ascend_resolver)
      159    0.000    0.000    0.005    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:531(expect_flow_sequence_item)
      744    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:63(pop)
       24    0.000    0.000    0.025    0.001 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\composer.py:166(compose_sequence_node)
      831    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\compat.py:116(dbg)
      404    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\compat.py:214(__getitem__)
      436    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\comments.py:768(__iter__)
       70    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\constructor.py:1087(construct_yaml_int)
      423    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\_collections_abc.py:1031(__iter__)
      370    0.000    0.000    0.028    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\parser.py:350(parse_block_node_or_indentless_sequence)
      194    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:795(check_value)
        1    0.000    0.000    0.000    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:42(__init__)
     1879    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\reader.py:104(stream)
     1030    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\parser.py:155(peek_event)
      291    0.000    0.000    0.003    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\representer.py:805(represent_key)
        1    0.000    0.000    0.006    0.006 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1277(loadLabels)
      874    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:254(get)
       95    0.000    0.000    0.000    0.000 {built-in method modifiers}
      386    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:392(remove_possible_simple_key)
       33    0.000    0.000    0.004    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:512(selectShapePoint)
       22    0.000    0.000    0.008    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1473(setZoom)
      123    0.000    0.000    0.000    0.000 {built-in method translated}
       81    0.000    0.000    0.000    0.000 {built-in method addAction}
       38    0.000    0.000    0.014    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1469(setScroll)
        1    0.000    0.000    0.000    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\unique_label_qlist_widget.py:11(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\label_list_widget.py:112(__init__)
       10    0.000    0.000    0.000    0.000 {built-in method addSeparator}
        1    0.000    0.000    0.000    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\tool_bar.py:6(__init__)
      744    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:815(process_anchor)
     1393    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method load}
     31/9    0.000    0.000    0.003    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:435(_parse_sub)
      573    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\comments.py:953(__contains__)
        6    0.000    0.000    0.000    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1334(<listcomp>)
        3    0.000    0.000    0.034    0.011 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\PIL\Image.py:694(tobytes)
      384    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\comments.py:444(lc)
      669    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:164(__getitem__)
       24    0.000    0.000    0.005    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1759(paintCanvas)
        2    0.000    0.000    0.000    0.000 {built-in method setMinimum}
        1    0.000    0.000    0.000    0.000 {built-in method addToolBar}
        1    0.000    0.000    0.000    0.000 {built-in method setStyleSheet}
       14    0.000    0.000    0.021    0.002 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\utils\qt.py:61(addActions)
      123    0.000    0.000    0.000    0.000 {built-in method subElementRect}
      178    0.000    0.000    0.000    0.000 {built-in method length}
       10    0.000    0.000    0.003    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1201(shapeSelectionChanged)
       70    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:555(fetch_flow_entry)
       61    0.000    0.000    0.000    0.000 {built-in method model}
      711    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       32    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\PIL\TiffImagePlugin.py:559(_setitem)
      396    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\tokens.py:129(move_old_comment)
       41    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\sre_compile.py:276(_optimize_charset)
      545    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\compat.py:138(__call__)
    94/15    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:174(getwidth)
        5    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\lib\function_base.py:5143(insert)
       22    0.000    0.000    0.008    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1480(addZoom)
      741    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:67(last_seq)
      711    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\abc.py:117(__instancecheck__)
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
        4    0.000    0.000    0.000    0.000 {built-in method value}
       23    0.000    0.000    0.000    0.000 {built-in method addWidget}
      289    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:61(__init__)
        1    0.000    0.000    0.000    0.000 {system}
      459    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\representer.py:248(represent_str)
      246    0.000    0.000    0.000    0.000 {built-in method topLeft}
        7    0.000    0.000    0.000    0.000 {built-in method selectionModel}
      123    0.000    0.000    0.000    0.000 {built-in method color}
       24    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\constructor.py:1262(construct_rt_sequence)
      294    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\constructor.py:1255(construct_yaml_str)
        4    0.000    0.000    0.020    0.005 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1059(toggleDrawMode)
       48    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\resolver.py:331(add_version_implicit_resolver)
     13/2    0.000    0.000    0.001    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\config\__init__.py:22(update_dict)
       22    0.000    0.000    0.008    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1488(zoomRequest)
      436    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\comments.py:999(_keys)
        2    0.000    0.000    0.000    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\brightness_contrast_dialog.py:152(_create_spinBox)
        2    0.000    0.000    0.017    0.008 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:828(setLastLabel)
        4    0.000    0.000    0.001    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\PIL\TiffImagePlugin.py:1252(_setup)
      748    0.000    0.000    0.000    0.000 {function CommentedMap.__getitem__ at 0x000001D6FBFB4430}
      123    0.000    0.000    0.000    0.000 {built-in method save}
      216    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\comments.py:464(anchor)
        5    0.000    0.000    0.000    0.000 {built-in method addMenu}
        3    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.new}
        2    0.000    0.000    0.000    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\label_list_widget.py:11(__init__)
      321    0.000    0.000    0.000    0.000 {built-in method maximum}
      120    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\events.py:85(__init__)
        5    0.000    0.000    0.004    0.001 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\unique_label_qlist_widget.py:33(setItemLabel)
      123    0.000    0.000    0.000    0.000 {built-in method restore}
      140    0.000    0.000    0.001    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:764(sizeHint)
        1    0.000    0.000    0.000    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\utils\qt.py:71(labelValidator)
        5    0.000    0.000    0.000    0.000 {built-in method setItemWidget}
        7    0.000    0.000    0.001    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:535(calculateOffsets)
      542    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    3.879    1.939 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\label_dialog.py:203(popUp)
        7    0.000    0.000    0.000    0.000 {built-in method findItems}
        1    0.000    0.000    0.000    0.000 {built-in method saveState}
       16    0.000    0.000    0.002    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\argparse.py:1388(add_argument)
       24    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\constructor.py:1299(flatten_mapping)
        3    0.000    0.000    0.000    0.000 {built-in method setItem}
       81    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\representer.py:261(represent_bool)
       41    0.000    0.000    0.005    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\re.py:288(_compile)
       79    0.000    0.000    0.000    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:171(editing)
      291    0.000    0.000    0.002    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\representer.py:120(represent_key)
        4    0.000    0.000    0.018    0.005 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:928(setTraceReset)
      120    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\comments.py:409(fa)
        1    0.000    0.000    0.000    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\zoom_widget.py:7(__init__)
      194    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\comments.py:456(_yaml_set_kv_line_col)
       10    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.000    0.000 {built-in method verticalScrollBar}
        2    0.000    0.000    3.897    1.948 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1425(newShape)
      626    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\util.py:33(<lambda>)
        1    0.000    0.000    0.001    0.001 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\brightness_contrast_dialog.py:20(__init__)
        1    0.000    0.000    0.007    0.007 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\PIL\TiffImagePlugin.py:1(<module>)
      120    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\nodes.py:96(__init__)
        3    0.000    0.000    0.072    0.024 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\main.py:1264(dump_all)
       24    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:536(fetch_flow_collection_end)
       80    0.000    0.000    0.000    0.000 {built-in method toolButtonStyle}
       11    0.000    0.000    0.001    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\label_list_widget.py:147(itemSelectionChangedEvent)
        3    0.000    0.000    0.000    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1239(_update_shape_color)
       11    0.000    0.000    0.000    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\unique_label_qlist_widget.py:20(findItemsByLabel)
       10    0.000    0.000    0.000    0.000 {built-in method addRow}
       36    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:500(expect_flow_sequence)
        3    0.000    0.000    0.000    0.000 {built-in method setShortcuts}
        8    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       16    0.000    0.000    0.001    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\argparse.py:161(__init__)
      164    0.000    0.000    0.000    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\PIL\TiffImagePlugin.py:647(_unpack)
       12    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\ntpath.py:180(split)
       41    0.000    0.000    0.000    0.000 {built-in method angleDelta}
        3    0.000    0.000    0.135    0.045 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\main.py:1059(load)
        5    0.000    0.000    0.000    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:162(focusOutEvent)
        1    0.000    0.000    0.026    0.026 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1792(closeEvent)
        2    0.000    0.000    0.000    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\brightness_contrast_dialog.py:139(_create_slider)
